Comment,Cluster
"Va sustin din inima, din Franta ❤",3
"Multumesc ca existati! Am fost, a fost frumos. Au fost multi. Trenurile la metrou au fost full. Stiu ca sunt mult mai multi care rezoneaza cu dvs si care va sustin, dar din diverse motive nu au ajuns la protest. Dumnezeu sa va protejeze, sa fiti sanatos! Dumnezeu sa ne ajute! 😘🤗🙏❤️",1
1K😂😂😂😂😂,2
CALIN GEORGESCU PRESEDINTE.,3
GEORGESCU PREȘEDINTE!<br>✊🏻👏🏻🇷🇴🇷🇴✌🏻,3
America vrea sa distruga Europa si o face prin jocurile Angliei desigur,1
"Georgescu este un demagog și fost securist și nu este cu nimic mai presus de cei care ne conduc acum. Iar Anca Alexandrescu promovată de ion cristoiu vrabiuță a securității, fica lui Horia Alexandrescu pupător de mâini al regimului Ceaușescu,Foști viitori securiști. Georgescu mi-a făcut generația de rușine. La școală a fost un elev mediocru în pofida faptului că tatăl său îl dojenea.",1
Cristian Sima are viziunea potrivită pentru a face din 2025 anul progresului României!,3
CG11 Viitorul Președinte🙏🙏🙏,3
"Buna ziua ! Din Galati deranjez ,cu o scurta poveste <br>Pe timpul pandemiei ,copilul ,fiica mea a lucrat la spital cu masca imbracata pe sub care curgeau suroaie de apa la caldura care era si cu buteliile de oxigen pe care le cara (fiind asistenta) si cand sau linistit toate conducerea sa lipsit de ea ,motivul nu se putea ramane decat prin relatii puternice cu spaga de 10000euro direct prin primarie numai asa se rezolva la spitalele din Galati",1
"👎👎👎 Dusmanul libertatii si democratiei ii invita pe romani sa iasa in strada pt sustinerea acestor drepturi pe care le avem deja…Altele sunt problemele pe care le are Romania, probleme care nu pot fi rezolvate de extremisti ca dl CG. Dragi cetateni romani, ascutiti-va spiritul critic, nu credeti tot ce auziti, ascultati opinii din ambele tabere, si nu va lasati manipulati asa usor",1
Care presedinte ales?A fost doar turul 1 ????,1
Marşh mă 😂.,0
Trăiască România liberă! Salutari din Polonia.,1
"O Zi Mare,Binecuvantare, Dumnezeu VA Fi cu DL Dr C GEORGESCU,cu marele Si Maret popor ! Toti, celor Care-i santeti aproape,Anca Alexandrescu, Multumesc Dumnezeu sa VA. Ajute la realizare in Pace &quot;Alegerea&quot;, Validata de poporul Roman 🙏🙏💞🍀,...k",1
🌻🌼🌿,2
"Românilor, treziți-vă!!!",3
"1 MARTIE,dragi románi,aláturi de presedintele nostru,Cálin Georgescu,in Bucuresti,la marele eveniment!<br>Cu DUMNEZEU,inainte románi!❤❤❤",3
"Doar,Cálin Georgescu!❤❤❤",3
Uniti vom invinge🎉🎉,4
Noi vrem turul 2 inapoi,1
Călin Georgescu președinte 🇷🇴,3
"Libertate!!!💙💛❤<br>Pentru viata!<br>Pentru a alege pacea!<br>Pentru dreptul la exprimare!<br>Pentru alegeri libere!<br>Pentru a ne alege conducatorii pe care ii vrem!<br>Pentru respectarea Constitutiei!<br>Pentru respectarea stramosilor nostri care au murit pentru libertate!<br><br>Suntem alaturi, uniti cu totii si cu bunul Dumnezeu🙏",1
"Vom Veni cu toti dar daca ei mai fac arestari eu cred ca romanii  nu vor mai veni pasnici ! este inadmisibil sa ne controleze ei cu catusele lor ! Vor sa ne instaleze frica dar nu o vor face ! <br>Sper sa reusiti sa castigati in mai pentru ca turul doi nu cred ca il vor mai da inapoi. Si daca luati puterea sa faceti ca in America - &quot; Departamentul de Eficientizare al lui Elon Musk &quot;ca sa nu se mai cheltuiasca banul public cum vor toti hotii ! Cineva trebuie sa pazeasca visteria statului altfel nu avem ce face ! Ne invartim in jurul cozii . Minele sa fie deschise , aurul sa fie scos sa ne platim datoria, si sa construi si noi nave comerciale sa putem sa exportam &quot;Hrana si apa &quot; in exces din Romania . E strigator la cer sa nu avem flota comerciala, cand avem o pozitie atat de strategica la Marea Neagra. Va multumesc frumos !",1
"Mai tineti minte cand Georgescu spunea ca nu il stie pe Potra? Care acum stim ca ii dadea bani, masina si cautea sa ridice pentru dansul finantari de la Frank Timis?",1
&quot;Presedintele Ales&quot; 😂😂😂😂😂😂😂😂,0
"wow, gata a iesit de la parnaie? e bun DrACUL asta.",1
Anca tu te auzi cand vorbesti? Esti ca o tata care se cearta la gard pacat de banii cheltuiti pe scoli,1
Cu Dzeu inainte!!!!!!,1
❤🇹🇩❤️DOAMNE AJUTĂ!❤🇹🇩❤️,0
Vă iubim!!!!! ÎNCREDERE!!!!!!!,0
Trezirea in conștiința își v-a spune cuvântul,1
Domnule Președinte noi cu dumneavoastră și împreună cu Dumnezeu,1
"The true fascism comes from Brussels. They say Georgescu is pro Putin, but the european union is financing Putin everyday buying his gas and petrol. Hypocrisy!",0
Bună ziua  pe viitor ar trebui  dată  o lege pentru ca personalul din armată  poliție  procuratura  persoane  care au facut pușcărie  să  nu mai facă  parte din nici un  partid politic  și  să  nu mai  aibă  dreptul  să  candideze  pentru  nici o  funcție  politica  in stat fie ea chiar și  de primar  chiar dacă  au scris cărți  in penitenciar???,1
"Poate foarte mulți dintr voi o să vă potoliți cu trompetele voastre tâmpite! Am fost la proteste ca să aud doar trompetele alea asurzitoare. Ne strângem ca să ne spunem nemulțumirile, nu mergem la meci! Din păcate sunt penibile protestele!",1
Doamne ajută să învingem,0
Georgescu la bulau!,0
Oameni buni iesiti din case,1
"Haideti sa iesim si in diaspora, pe la ambasadele care sunt in fiecare tara din Europa!",1
Oameni simbata iesim toti sa sustinem pe Georgescu,1
Doamne în ce hal ajuns țara asta ce mafie dacă nu ne trezim o să fim vai mama voastră ne jupoaie ăsta până la ultima bucată de Pele după noi Europa nu ne vrea binele ca sunt interese mari ei vrea să rămânem sclavi lor și atât,1
VÃ IUBIM DOMNULE PRESEDINTE CÃLIN GEORGESCU 🇷🇴🇷🇴🇷🇴🇷🇴 DUMNEZEU SÃ VÃ OCROTEASCÃ DE TOT ACEST RÃU CARE ESTE ÎMPOTRIVA DUMNEAVOASTRÃ 🙏🙏🙏🙏🙏🙏🙏,1
"UE este disperată, pierde bogățiile Ro ! Doamne ajută să câștigăm ! Maica Domnului nu ne lasa ! 🙏🏻",1
"❤💛💙Respect și prețuire avem pentru dvs❤ Sănătate și încrederea că vă suntem alături❤ Nu ne mai poate ameți și păcăli nimeni, ne-am săturat de mizerii și corupție, ne-am trezit cu toții de mult, doar așteptam încă un lider cu curaj, onoare și dragoste pentru România și români❤💛💙🙏✌ Călin Georgescu este Președintele nostru ales deja❤",1
"❤Respect și prețuire avem pentru dvs❤ Sănătate și încrederea că vă suntem alături❤ Nu ne mai poate ameți și păcăli nimeni, ne-am săturat de mizerii și corupție, ne-am trezit cu toții de mult, doar așteptam încă un lider cu curaj, onoare și dragoste pentru România și români❤💛💙🙏✌ Călin Georgescu este Președintele nostru ales deja❤",1
Vrem sa reconstruim viitorul în ROMÂNIA condusi de CALIN GEORGESCU❤💛💙🙏✌,3
