Comment,Sentiment
,-1
"1:37:35 nu stiu daca este chiar contra intuitiv sau este mai usor pentru creier ca sa gestioneze riscurile si sa gaseasca o cale pentru supravietuire. Creierele noastre detesta situatiile noi, schimbarea, pentru ca asta le solicita cel mai tare din punct de vedere al calcularii riscurilor, iar frica noasta ancestrala este riscul care te duce la moarte.",-1
Dragos vorbeste ca un om respectabil in timp ce gazda vorbeste ca si cum e la birtul satului.,-1
,-1
"Gojira, ai vorbit mult.......omul asta a venit la tine sa te asculte pe tine sau l-ai invitat sa il asculti si pe el ce zice. Ce cacat ai facut?",-1
"Doamna minstr a educaiei tie ca ai notri copii nva in 2 schimburi, cu pauze de 5 minute? Copilul meu ncepe orele 11:15 i le termina la ora 16:50, fiind in clasa a 6 a, i are pauze de 5 minute i o pauza "" mare"" de 10 minute. Ce adult reuete sa stea la munc 6 ore cu pauza de 5 minute la fiecare ora i cu o pauz de mas de 10 minute? Sntatea copiilor notri este compromis din coal. Cum putem noi ca i parinti sa ii nvm sa isi respecte masa de prnz cnd noi ca i societate nu le putem oferi timpul necesar pentru a o servi. Vorbi de o coal respectat din Braov.",-1
Super podcast!!! Felicitri domnilor!!! M-am distrat ascultandu-va!!!!,-1
"Nu cred ca ""suntem intre inteligenta artificiala si prostia naturala"". Suntem deja scufundati pana peste cap de prostie, daca nu chiar idiotenie, naturala dintre cele mai periculoase.",-1
Asi dori sa ntreb dac fonduri USAID ct i cele de la UE care platesc corporaiile de pres nu duc statul catre o dictatura a post adevrului !? Despre care libertate discutai?,-1
"Patraru prinde la publicul roman pentru ca are un discurs comunist. Treaba statului nu e sa asigure egalitatea ntre oameni, ci securitatea, dreptatea(justia) i libertatea.",-1
"Bai Gojira frateleee meu.. NU TE MAI HALESC! i nu pt ca eti gras sau pori gogoarii aia hidosi, cum te obinuiete haterul de rand. Nu! Eti om inteligent i n 99% din cazuri, sunt de acord cu ce spui. Dar nu e despre tine! E despre invitat! El trebuie sa vb mai mult, nu tu. Tu asculta n mama ma-sii! Pune ntrebri. Nu e o competiie a ta cu invitatul: cine cunoate mai multe alte vedete, cine a citit mai mult, cine ""tie el mai bine"".",-1
"Legat de cat esti dispus sa mergi pt. libertate, fiecare are un raspuns pt. el, suntem diferii. Daaar, putem sa ne uitam la, mult prea putin mediatizaii, Paolo Borsellino, Giovanni Falcone si restul, care, contieni fiind ca sunt niste dead man walking, au ramas fermi si au platit cu viaa pt. libertate.",-1
"1:08:26 Punct ochit, punct lovit. Chapeau bas",-1
Cristian Sima presedinte,-1
"ba gojira, cand iti vad fata aia de ghertoi nespalat catarat pe fotoliu, mi se face rau",-1
"Respect, Gojira i Drago!",-1
"Faceti dragutilor si o analiza a lui Bolojan. Ce bun si ce frumos este, ce iubitor de tara est....e",-1
"Ce abuzuri fac corporatiile, socialist patetic??",-1
,-1
"Super , foarte interesant . Felicitri !",-1
"1936- 440.000 angajai la stat n Romnia, 250.000 n Germania. Populatie 19 milioane Romnia, 60 milioane Germania. (Dennis Deletant). n Germania nu mai erau analfabei, n Romnia doar 60% ( afar de cei funcionali, adic cei angajai ca funcionari). Aveau romnii mai multe servicii dect nemii? Da! Aveau angajai care confiscau i vindeau tot ce gseau prin casa ranilor, n gospodrie. Scuteau ranii s mai mearg la pia. 87% dintre romni erau rani i 26% dintre nemi. Azi: 400.000 funcionari (guvern i agenii) n Romnia, 50.000 angajai n 17 guverne (16 landuri plus guvernul federal). n Romnia snt muli pentru c i-au cumprat scunelul. n viitor s-i cumpere sap!",-1
Fraii mei n aceeai emisiune,-1
"Bestiali amndoi! V urmresc cu plcere dar pe tine, Gojira, te-am descoperit de curnd (cu alegerile ). Felicitri pentru ce facei!!!",-1
Uneori ideologia lui Patraru e indoielnica,-1
Superb!!!,-1
1:43:03 Nu esti sanatos la cap,-1
Multumim domnu' Gojira pentru 2 ore foarte interesante,-1
,-1
"Baboias, partea doua cnd vine?",-1
33:46 maxima,-1
,-1
Degeaba il injurati pe Trump si Musk pt ca America nu o sa reuseasca sa tina pasul cu China si Rusia daca nu lasa nimicurile cu lgbt si alte labagisme,-1
