Comment,Sentiment
"2:22:19 si daca in turul doi ambi candidati au fix defectele de care iti doresti sa scapi? Adica, daca lista valorilor comune dintre canditatul votat in primul tur cu candidatii din al doilea tur este mult mai mica decat lista diferentelor dintre canditatul votat in primul tur cu candidatii din al doilea tur, atunci nu este rezonabil sa-i lasi pe fanaticii celor doi candidati sa decida iar tu sa absentezi sau sa-ti anulezi votul?",0
"""We shall meet in the place where there is no darkness""",0
"Am neles c nu mai fumezi, dar acum ai inceput sa cenzurezi?? Pai eu pt asta ascultam , haha",0
Si votantul cg nu intelege absolut nimic din acest episod.,0
"Deja canalul happyfish se transforma intr un canal politic anti Georgescu , ce ar trebui sa votam?aceeasi oameni care fura de mai bine de 30 de ani?in loc sa auzim chestii interesante din care sa invatam ceva auzim doar propaganda anti Georgescu si deja tind sa cred ca acest canal este platit sa faca anti-reclama , sunt dezamagit de ceea ce a ajuns acest podcast",0
"Te-am ascultat 2 ore dar nu mai pot....aveti un limbaj si o atitudine de smecheras de cartier....nasol, bosule.....",0
i din restul de candidai la prezideniale pe cine au mai salvat ?,0
"Dar voi ""pe cine cacat ati salvat in ultimii zece ani"", Patrascule?",0
"Cel mai bun podcast pe care l-am vazut vreodata Jos palaria domnii mei, felicitari amandurora, va salut cu drag din Danemarca felicitari",0
Felicitari domnilor pentru discutia relaxata din care tineretul are multe de invatat!,0
"Ce-i cu sunetul sta distorsionat, cine v-a lucrat microfoanele aicea domne? Practic nu sun bine dect cnd stai departe de microfon sau ntoarcei capul s nu vorbii n el.",0
"Bravo. O emisiune reusita, placuta pentru ascultare si invataminte.",0
"Bravo. O emisiune reusita, placuta pentru ascultare si invataminte.",0
1:44 o sa te ciunteasc dup asta,0
"Ptraru merge spre mediul intelectual, omul se educ academic i se vede. Gojira e obsedat sexual",0
Nu facei bai 3%. n Romnia nu poi s faci dac nu eti pe aceiai linie cu sistemul.,0
Gojira a inceput sa se intrerupa singur.,0
"37:00 doamne cat m-am simtit in ce spune Dragos, doar ca eu aveam chestiile astea in copilarie dupa anii 2000",0
Ce fain! Sa fii sntoi!,0
"si acum, nu numai in anii 90,referitor la certurile pe politica, si nu numai",0
"parca sunt doi catei care se ling la fund unu pe altu, Penibil !",0
Sa va gabati reclamele undeva. La revedere!,0
"Nu sunt hater, il apreciez pe Dragos, dar daca se tunde saptamanal, ii recomand sa isi schimbe frizerul",0
"E deranjant muzica , e prea tare . Ai putea s i cont",0
"Am facut o lista cu cartile mentionate in timpul discutiei, poate mai ajuta pe cineva: Psychopolitics - BYUNG-CHUL HAN Coridorul ngust - Daron Acemoglu, James A. Robinson Gustul amar al ciocolatei - Olimpia Zamfirescu Nuvela: Inima de caine - Mikhail Bulgakov Prietena mea geniala - Elena Ferante Ce Este Populismul? - Jan-Werner Muller Regasirea Sensului - Jamie Wheal Patriot. Memorii - Aleksei Navalnii Tratat asupra cozii - Florin Sicoie Niciodata nu e de ajuns - Judith Grisel",0
"Remarcabil Este mai ceva ca un balsam pentru sufletul meu Am ascultat, am postat si va multumesc ca v-ati intalnit pentru aceasta discutie!",0
"Mi-am amintit de certurile priniilor: tata ( FSN -inst, cu Iliescu) - mama cu Campeanu ( PNL) , erau sa ajunga la divor . Bunica mamei surpriza tot cu ILIESCU, iar cand venea vecina PNL- ista apareau tot felul de discuii - parca acum o aud pe bunica ( fie iertat):"" sa iesi afara din casa copiilor - regalisto"". Actualmente am discuii contradictorii cu prinii care sunt "" Georgisti"" - admiratori ANAMARIA Gavril (POT)...inca putin si ma dezmotenesc Doamne ce vremuri trim.",0
"Domnu' Gojira , acest "" Golan"" Educat i fff capabil sa accepte toate tipurile de persoane i caractere, felicitri I love both of you P.S. Daca se poate , as dori sa vad un invitat surpriz : Cristian Sima Gojira oricum eti on fire cnd vine vb de istorie n general , as vrea sa vad ce idee i poi contura despre acest presupus candidat la preedinie. Keep up the good work",0
"Cauti 2 zile mai tarziu dupa podcastul asta ""gustul amar al ciocolatei"" si ""Ce este populismul"" sa le comanzi si nu le mai gasesti nicaieri pe stoc. REGE!",0
Pentru algoritm.,0
Cum adic eti vegetarian dar mnnci doar pete? Cresc in copac sau pe camp petii ?,0
las ca fost roz cu biden si trupa.,0
GOJIRA SA FII DE BALIGA UMFLATU DRACU,0
"2:15:25 Gicule, atept feedback la vinul cu ""bolboroace"" ! Mulumesc pentru podcast!",0
