Comment,Sentiment
"Ce se ntmpl n dictaur? Orice nene care a terminat o facultate de citit nu i poate exprima prerile din cap? Mcar de ar fi prerile lui... Dar sunt doar preri mprumutate de la autorii pe care i a citit...orice filozof inutil nu are libertatea de a brfi? acum brfete pn obosete... i ce s-a schimbat? Ca cetean al Rusiei sau Chinei...ce nu ai voie s faci? Da, nu ai voie s brfeti... Altceva?",1
"Primul film dup revoluie a fost,, Produsul verde,, i la te pune pe gnduri mai ru ca,, Ferma animalelor,,",1
i cnd fratele tu e nchisoare i torturat i tu esti in libertate mai poi rmne n libertate sau te ntorci? Ai vorbit acum prostii i trebuie sa citeti cartea i sa revii la subiect. Nu e chiar asa de simplist cum crezi tu,1
"Gojira, nu ai putea sa citeti mai nti cartea i apoi sa i dai cu prerea? E total greit ce faci, chiar dac poate ai sau nu dreptate. Eu citesc acum cartea i nu o nimereti nici pe aproape.",1
Daca voi mi spunei un candidat mai bun dect Georgescu l votez . Dar venii cu argumente,1
e mai mult monolog asta,1
"i ce ai vrea domnule Ptraru, s transformm tietorii de frunzede la stat n profesori , nvtori, medici, poliiti . Adic s nu-i disponibilizeze pe cei care NU I JUSTIFIC EXISTENA, doar c au fost angajai pe total alte criterii dect cel profesional ???",1
Banii chiar nu ar fi asa problem dac am sti sa absorbim fonduri europene. In schimb prostia de la noi din ar nu dispare,1
"Tot ce e natural e mai bun, n sensul c rezist n timp.",1
Directorul N-AVEA CE CUTA ACOLO FIINDC DEPISE VRSTA DE PENSIONARE CU 10 ani !,1
La familia Pali au venit la 6 dimineaa i i-au luat cu calculatoare i agend cu tot ! i familia Pali n-a cntat !,1
"1:09:19 .... raportat la numarul de angajati la privat in Romania, bugetariii sunt prea multi...nu raporta la populatie, Romania are 6-7 milioane persoane plecate din tara..... imposibil ca 6 mil de angajati la privat sa sustina 1.3 mil de bugetari plus pensionari plus restul de etc etc...sa nu mai vorbim de atitudinea bugetarului cand ai de aface cu el... ca iti vine sa-l trimiti direct la dentist...",1
"Perfect de acord...problema ramane una psihologica... Si eu am aceeasi problema, respectiv sa luam in calcul majoritatea. Unui om simplu dpdv psihic ii este extraordinar de greu sa-si gaseasca un scop in absenta religiei sau a urmaririi unei cariere. Oricat sunt eu impotriva oricarei forme religioase, social suntem inca intr-un moment in care nu se poate fara...si desi usor usor, se face trecerea de la religie catre altceva, suntem intr-o perioada de iesire inca din ev mediu psihic, iar sistemul si educatia este condusa tot de cei care sunt antrenati in evul mediu. Din pacate, fara un conflict politic, economic, ideologic sau social (inca nu am avut asa ceva...au fost doar conflicte intre aceleasi sisteme)...nu putem trece peste. Vom ajunge eventual unde trebuie...parerea mea...dar avem nevoie de 2-3-4 generatii de sacrificiu...noi momentan suntem generatia de sacrificiu 2...gen x fiind aceea... Trebuie doar sa tragem concluziile care trebuie din greselile care se fac la nivel global...",1
Doamne ce haioi sinteti v ador avei aa de mult dreptate n tot ce spunei,1
